Item,Qty,Description,Source
1,1,Atmega32u4_DEV_BOARD,http://medesign.seas.upenn.edu/index.php/Guides/MaEvArM
2,1,Neopixel_30Strand,http://www.adafruit.com/products/1376?gclid=CJ61kPP9zsICFWFp7Aod0T8AuA
3,1,4.7kOhm,http://www.digikey.com/product-detail/en/CF14JT4K70/CF14JT4K70CT-ND/1830366
4,1,Photoresistor,http://www.digikey.com/product-detail/en/PDV-P8103/PDV-P8103-ND/480610
5,1,".5""_Acrylic_Rods",http://www.mcmaster.com/8531K17
6,5,4-40_Threaded_Inserts,http://www.mcmaster.com/94615A112
